index,question,reasoning,answer
0,"3년 만기 정기예금에 연 4.5% 단리로 500만원을 예치하는 것과, 매주 15만원씩 20주적금에 연 3.0% 복리로 적금하는 것 중 이자액이 얼마나 차이가 나나요?","<think>
먼저, 3년 만기 정기예금의 이자액을 계산합니다. 정기예금은 단리로 계산되므로, 이자액은 원금에 연이율을 곱하고, 이를 다시 예치 기간(년)과 곱하여 구합니다.

<calc>
5000000 * 0.045 * 3
</calc>
<result>
675000
</result>

따라서, 정기예금의 이자액은 675,000원입니다.

다음으로, 매주 15만원씩 20주 적금의 이자액을 계산합니다. 적금은 복리로 계산되므로, 주간 복리 이자율을 구한 후, 각 주차별로 원금에 이자율을 적용하여 총액을 구합니다. 주간 복리 이자율은 연이율을 52주로 나눈 값입니다.

<calc>
0.03 / 52
</calc>
<result>
0.000576923
</result>

각 주차별로 원금에 이자율을 적용하여 총액을 구합니다. 이를 위해 각 주차별로 원금에 이자율을 적용한 값을 모두 더합니다.

<calc>
sum([150000 * (1 + 0.000576923) ** (20 - i) for i in range(20)])
</calc>
<result>
3036760.0
</result>

총 납입 금액은 15만원씩 20주이므로,

<calc>
150000 * 20
</calc>
<result>
3000000
</result>

따라서, 적금의 이자액은 총액에서 총 납입 금액을 뺀 값입니다.

<calc>
3036760.0 - 3000000
</calc>
<result>
36760.0
</result>

따라서, 적금의 이자액은 36,760원입니다.

마지막으로, 두 이자액의 차이를 구합니다.

<calc>
abs(675000 - 36760.0)
</calc>
<result>
656760.0
</result>

따라서, 두 이자액의 차이는 656,760원입니다.
</think>
<answer>
656760.0
</answer>",656760.0
1,"6개월 만기 정기예금에 연 3.5% 단리로 1,000만원을 넣는 것과 매주 20만원씩 26주 적금에 연 4.5% 복리로 적금하는 것 중, 만기 수령액 차이가 얼마나 되나요?","<think>
먼저, 6개월 만기 정기예금의 만기 수령액을 계산합니다. 연 이자율 3.5%를 단리로 계산하며, 6개월은 180일로 가정합니다. 

정기예금의 이자는 다음과 같이 계산됩니다:
<calc>
10000000 * (3.5 / 100) * (180 / 365)
</calc>
<result>
172602.7397
</result>

따라서, 정기예금의 만기 수령액은 원금에 이자를 더한 값입니다:
<calc>
10000000 + 172602.7397
</calc>
<result>
10172602.7397
</result>

다음으로, 매주 20만원씩 26주 동안 적금을 넣는 경우를 계산합니다. 연 이자율 4.5%를 주간 복리로 계산합니다. 주간 이자율은 다음과 같습니다:
<calc>
4.5 / 100 / 52
</calc>
<result>
0.0008653846
</result>

각 주차별로 적금액에 복리 이자를 적용하여 만기 수령액을 계산합니다:
<calc>
sum([200000 * (1 + 0.0008653846) ** (26 - i) for i in range(26)])
</calc>
<result>
15084014.7397
</result>

마지막으로, 두 경우의 만기 수령액 차이를 계산합니다:
<calc>
abs(10172602.7397 - 15084014.7397)
</calc>
<result>
4911412.0
</result>

따라서, 만기 수령액 차이는 4,911,412원입니다.
</think>
<answer>
4911412.0
</answer>",4911412.0
2,2년 만기 정기예금에 연 3.5% 단리로 500만원을 넣는 것과 매달 30만원씩 2년 간 자유적금에 연 4.0% 복리로 적금하는 것 중 만기 수령액이 얼마나 차이가 나나요?,"<think>
먼저, 2년 만기 정기예금의 만기 수령액을 계산합니다. 정기예금은 단리로 계산되므로, 이자는 원금에 연 이자율을 곱한 후, 이를 다시 기간(년수)와 곱하여 구합니다. 

<calc>
5000000 * 0.035 * 2
</calc>
<result>
350000
</result>

따라서, 정기예금의 만기 수령액은 원금에 이자를 더한 값입니다.

<calc>
5000000 + 350000
</calc>
<result>
5350000
</result>

다음으로, 매달 30만원씩 2년간 자유적금에 연 4.0% 복리로 적금하는 경우를 계산합니다. 월간 복리 이자율은 연 이자율을 12로 나눈 값입니다.

<calc>
0.04 / 12
</calc>
<result>
0.0033333333333333335
</result>

각 월별 납입금에 대해 복리 이자를 적용하여 만기 수령액을 계산합니다. 이를 위해 각 월별 납입금에 대해 (1 + 월간 이자율)^(24 - i) 만큼의 복리 이자를 적용합니다. 여기서 i는 0부터 23까지의 값입니다.

<calc>
sum([300000 * (1 + 0.0033333333333333335) ** (24 - i) for i in range(24)])
</calc>
<result>
7507808.999999999
</result>

따라서, 자유적금의 만기 수령액은 약 7507809원입니다.

마지막으로, 두 경우의 만기 수령액 차이를 계산합니다.

<calc>
abs(5350000 - 7507809)
</calc>
<result>
2157809
</result>

따라서, 두 경우의 만기 수령액 차이는 2157809원입니다.
</think>
<answer>
2157809.0
</answer>",2157809.0
3,"신용대출로 5,000만원을 연 6.3% 복리로 빌리는 것과, 마이너스통장 대출로 최대 3,500만원을 연 4.8% 단리로 사용하는 경우, 일년 기준 총 이자 비용이 얼마나 차이 나는지 비교해 주세요.","<think>
먼저 신용대출의 경우를 계산해 보겠습니다. 신용대출은 연 6.3%의 복리로 계산됩니다. 원금은 5,000만원이고, 기간은 1년입니다. 복리 계산식은 다음과 같습니다:

<calc>
50000000 * (1 + 6.3 / 100) ** (365 / 365)
</calc>
<result>
53150000
</result>

따라서 1년 후의 총 상환 금액은 53,150,000원이 됩니다. 이자 비용은 다음과 같습니다:

<calc>
53150000 - 50000000
</calc>
<result>
3150000
</result>

다음으로 마이너스통장 대출의 경우를 계산해 보겠습니다. 마이너스통장 대출은 연 4.8%의 단리로 계산됩니다. 원금은 3,500만원이고, 기간은 1년입니다. 단리 계산식은 다음과 같습니다:

<calc>
35000000 * (4.8 / 100) * (365 / 365)
</calc>
<result>
1680000
</result>

따라서 마이너스통장 대출의 이자 비용은 1,680,000원이 됩니다.

이제 두 대출의 이자 비용 차이를 계산해 보겠습니다:

<calc>
3150000 - 1680000
</calc>
<result>
1470000
</result>

따라서 신용대출과 마이너스통장 대출의 이자 비용 차이는 1,470,000원입니다.
</think>
<answer>1470000</answer>",1470000.0
4,"3년 만기 정기예금에 연 2.8% 단리로 500만원을 넣는 것과, 매주 50만원씩 16주적금에 연 3.2% 복리로 적금하는 것 중 총 수령액 기준으로 얼마나 차이가 나나요?","<think>
먼저, 3년 만기 정기예금의 총 수령액을 계산합니다. 정기예금은 단리로 계산되므로, 이자는 원금에 연 이자율을 곱한 후, 이를 다시 기간(년수)와 곱하여 구합니다. 

<calc>
5000000 * 0.028 * 3
</calc>
<result>
420000
</result>

따라서, 정기예금의 총 수령액은 원금에 이자를 더한 값입니다.

<calc>
5000000 + 420000
</calc>
<result>
5420000
</result>

다음으로, 매주 50만원씩 16주 적금의 총 수령액을 계산합니다. 적금은 복리로 계산되므로, 매주 납입한 금액에 주간 이자율을 적용하여 계산합니다. 주간 이자율은 연 이자율을 52주로 나눈 값입니다.

<calc>
0.032 / 52
</calc>
<result>
0.000615384615
</result>

각 주차별로 납입한 금액에 이자율을 적용하여 총 수령액을 구합니다.

<calc>
sum([500000 * (1 + 0.000615384615) ** (16 - i) for i in range(16)])
</calc>
<result>
8041975.0
</result>

마지막으로, 두 금융 상품의 총 수령액 차이를 계산합니다.

<calc>
8041975.0 - 5420000
</calc>
<result>
2621975.0
</result>

따라서, 두 금융 상품의 총 수령액 차이는 2,621,975원입니다.
</think>
<answer>
2621975.0
</answer>",2621975.0
5,"2년 만기 정기예금에 연 3.5% 단리로 500만원을 예치하는 것과, 매주 20만원씩 26주 적금에 연 4.2% 복리로 적금하는 것은 이자액 차이가 얼마나 나나요?","<think>
먼저, 2년 만기 정기예금의 이자액을 계산합니다. 정기예금은 단리로 계산되므로, 이자액은 원금에 이자율과 기간을 곱한 값입니다.

<calc>
5000000 * 0.035 * 2
</calc>
<result>
350000
</result>

다음으로, 매주 20만원씩 26주 적금의 이자액을 계산합니다. 적금은 주간 복리로 계산되므로, 매주 납입한 금액에 주간 이자율을 적용하여 계산합니다. 주간 이자율은 연 이자율을 52주로 나눈 값입니다.

<calc>
0.042 / 52
</calc>
<result>
0.0008076923076923077
</result>

각 주차별로 납입한 금액에 이자율을 적용하여 만기 시의 금액을 계산합니다. 이를 위해 각 주차별로 납입한 금액에 (1 + 주간 이자율)^(26 - 주차) 를 곱한 값을 모두 더합니다.

<calc>
sum([200000 * (1 + 0.0008076923076923077) ** (26 - i) for i in range(26)])
</calc>
<result>
5229177.0
</result>

총 납입 금액은 20만원씩 26주이므로,

<calc>
200000 * 26
</calc>
<result>
5200000
</result>

적금의 이자액은 만기 시의 금액에서 총 납입 금액을 뺀 값입니다.

<calc>
5229177.0 - 5200000
</calc>
<result>
29177.0
</result>

마지막으로, 정기예금의 이자액과 적금의 이자액 차이를 계산합니다.

<calc>
abs(350000 - 29177.0)
</calc>
<result>
292917.0
</result>

따라서, 이자액 차이는 292917.0원입니다.
</think>
<answer>
292917.0
</answer>",292917.0
6,"자유예금에 300만원을 2년 동안 연 3.8% 단리로 예금하는 것과, 2년 동안 매월 20만원씩 적금하는 2년적금에 연 5.2% 복리로 적금하는 것 중에 만기 시 이자액 차이가 얼마나 나나요?","<think>
먼저 자유예금의 이자를 계산해보겠습니다. 자유예금은 단리로 계산되며, 원금은 300만원, 연이율은 3.8%, 기간은 2년입니다. 단리 이자는 다음과 같이 계산됩니다.

<calc>
3000000 * (3.8 / 100) * (2 * 365 / 365)
</calc>
<result>
228000
</result>

따라서 자유예금의 이자는 228,000원입니다.

다음으로 적금의 이자를 계산해보겠습니다. 적금은 매월 20만원씩 2년 동안 적립하며, 연이율은 5.2% 복리입니다. 적금의 만기 금액은 각 월별로 복리 이자를 계산하여 합산한 후, 총 납입액을 뺀 값으로 구할 수 있습니다.

각 월별로 계산된 금액을 합산한 후 총 납입액을 빼는 과정은 다음과 같습니다.

<calc>
sum([200000 * (1 + 5.2 / (12 * 100)) ** (24 - i) for i in range(24)]) - 200000 * 24
</calc>
<result>
268847
</result>

따라서 적금의 이자는 268,847원입니다.

마지막으로 두 이자액의 차이를 계산해보겠습니다.

<calc>
abs(228000 - 268847)
</calc>
<result>
40847
</result>

따라서 두 이자액의 차이는 40,847원입니다.
</think>

<answer>
40847
</answer>",40847.0
7,"3년 만기 정기예금에 연 2.5% 단리로 500만원을 넣는 것과, 매주 10만원씩 26주적금에 연 4.5% 복리로 적금하는 것 중 만기 수령액이 얼마나 차이가 나나요?","<think>
먼저, 3년 만기 정기예금의 만기 수령액을 계산합니다. 정기예금은 단리로 계산되므로, 이자는 원금에 연 이자율을 곱한 후, 다시 기간을 곱하여 구합니다. 

정기예금의 이자는 다음과 같이 계산됩니다:
<calc>
5000000 * 0.025 * 3
</calc>
<result>
375000
</result>

따라서, 정기예금의 만기 수령액은 원금에 이자를 더한 값입니다:
<calc>
5000000 + 375000
</calc>
<result>
5375000
</result>

다음으로, 매주 10만원씩 26주 적금의 만기 수령액을 계산합니다. 적금은 복리로 계산되므로, 매주 납입금에 주간 이자율을 적용하여 계산합니다. 연 이자율 4.5%를 주간 이자율로 변환하면:
<calc>
0.045 / 52
</calc>
<result>
0.0008653846153846154
</result>

각 주차별로 납입된 금액에 대해 복리 이자를 적용하여 만기 수령액을 계산합니다:
<calc>
sum([100000 * (1 + 0.0008653846153846154) ** (26 - i) for i in range(26)])
</calc>
<result>
8119405.0
</result>

마지막으로, 두 만기 수령액의 차이를 계산합니다:
<calc>
8119405.0 - 5375000
</calc>
<result>
2744405.0
</result>

따라서, 두 금융 상품의 만기 수령액 차이는 2,744,405원입니다.
</think>
<answer>
2744405.0
</answer>",2744405.0
8,"3년 만기 정기예금에 연 4.0% 단리로 2000만원을 넣는 것과, 매월 100만원씩 3년 간 자유적금에 연 3.8% 복리로 적금하는 것은 만기 수령액 기준으로 얼마나 차이가 발생하나요?","<think>
먼저, 3년 만기 정기예금의 만기 수령액을 계산해보겠습니다. 정기예금은 단리로 계산되므로, 이자는 원금에 연 이자율을 곱한 후, 이를 다시 기간(년)과 곱하여 구합니다.

<calc>
이자 = 20000000 * 0.04 * 3
</calc>
<result>
2400000
</result>

따라서, 만기 수령액은 원금에 이자를 더한 값입니다.

<calc>
만기 수령액 = 20000000 + 2400000
</calc>
<result>
22400000
</result>

다음으로, 매월 100만원씩 3년간 자유적금에 연 3.8% 복리로 적금하는 경우를 계산해보겠습니다. 월간 복리 이자율을 구한 후, 각 월별로 적립된 금액에 대해 복리 계산을 적용합니다.

월간 복리 이자율은 연 이자율을 12로 나눈 값입니다.

<calc>
월간 이자율 = 0.038 / 12
</calc>
<result>
0.0031666666666666666
</result>

각 월별로 적립된 금액에 대해 복리 계산을 적용하여 총 만기 수령액을 구합니다.

<calc>
만기 수령액 = sum([1000000 * (1 + 0.0031666666666666666) ** (36 - i) for i in range(36)])
</calc>
<result>
38189058.0
</result>

마지막으로, 두 경우의 만기 수령액 차이를 계산합니다.

<calc>
차이 = abs(22400000 - 38189058.0)
</calc>
<result>
15789058.0
</result>

따라서, 두 경우의 만기 수령액 차이는 15789058.0원입니다.
</think>
<answer>
15789058.0
</answer>",15789058.0
9,"2년 만기 정기예금에 연 3.2% 복리로 3000만원을 넣는 것과, 매월 50만원씩 24개월 적금에 연 6.5% 단리로 적금하는 것 중 만기 수령액이 얼마나 차이가 나나요?","<think>
먼저, 2년 만기 정기예금의 만기 수령액을 계산합니다. 원금은 3000만원이고, 연 이자율은 3.2%입니다. 복리로 계산하므로, 2년 후의 금액은 다음과 같습니다.

<calc>
30000000 * (1 + 0.032) ** 2
</calc>
<result>
31956480
</result>

따라서, 정기예금의 만기 수령액은 31,956,480원입니다.

다음으로, 매월 50만원씩 24개월 적금의 만기 수령액을 계산합니다. 연 이자율은 6.5%이고, 단리로 계산합니다. 매월 적립되는 금액에 대한 이자는 다음과 같습니다.

<calc>
500000 * 24 * (24 + 1) / 2 * (0.065 / 12)
</calc>
<result>
1622500
</result>

따라서, 적금의 총 이자는 1,622,500원입니다. 적금의 만기 수령액은 원금과 이자를 합한 금액입니다.

<calc>
500000 * 24 + 1622500
</calc>
<result>
121622500
</result>

따라서, 적금의 만기 수령액은 12,162,500원입니다.

마지막으로, 두 금액의 차이를 계산합니다.

<calc>
abs(31956480 - 121622500)
</calc>
<result>
19138220
</result>

따라서, 두 만기 수령액의 차이는 19,138,220원입니다.
</think>
<answer>
19138220
</answer>",19138220.0
