index,question,reasoning,answer
0,"I took out a simple interest loan at an annual rate of 3.8% with my husband, and the interest for one year was 190,000 won. What was the original loan amount?","<think> To calculate the loan amount, you can use the interest formula \(I = P \times r \times t\). Here,
- \(I\) is the interest amount
- \(P\) is the principal loan amount
- \(r\) is the annual interest rate
- \(t\) is the time period.

To find the principal loan amount \(P\) from this formula, rearrange it as follows:
\[P = \frac{I}{r \times t}\]

Substituting the given values:
- \(I = 190,000\) won
- \(r = 0.038\) (annual interest rate 3.8%)
- \(t = 1\) year

Using the formula to calculate:
<calc>190000 / (0.038 * 1)</calc> <result>5000000.0</result>

Solving this equation gives the original loan amount. </think>

<answer>5000000.0</answer>

Therefore, the original loan amount is 5,000,000 won.",5000000.0
1,"Based on my brother's recommendation, I signed up for a 26-week savings plan, depositing 50,000 won each week for 26 weeks to purchase hunting equipment. What will be the maturity amount if the annual interest rate is 4.5% compounded?","<think>
Let's calculate the maturity amount when depositing 50,000 won every week for 26 weeks, with an annual interest rate of 4.5%.

1. **Weekly interest rate calculation:**
   To convert the annual interest rate of 4.5% to a weekly interest rate, divide it by 52 weeks.
   <calc>0.045 / 52</calc> <result>0.000865</result>

2. **Future value of the savings formula:**
   The future value of the savings can be calculated using the following formula.
   <calc>50000 * ((1 + 0.000865) ** 26 - 1) / 0.000865</calc> <result>1314160.34</result>
</think>

<answer>1314160.34 won</answer>",1314160.34
2,"How much is the interest when borrowing 3,100,000 won at a simple annual interest rate of 5.3% for 2 years to restore credit recently?","<think>
The given problem is to calculate the interest generated when 3,100,000 KRW is loaned at a simple interest rate of 5.3% per year for 2 years. In the simple interest method, interest is applied only to the principal, and the interest over the period is calculated by multiplying the principal by the interest rate and the period.

The formula is as follows:
Interest = Principal × Interest Rate × Period

Therefore,
Interest = <calc>3100000 * 0.053 * 2</calc> <result>328600.0</result> KRW
</think>
<answer>
328600.0 KRW
</answer>",328600.0
3,"The total amount received after depositing 3,500,000 won at an annual simple interest rate of 4.0% for one year to gather funds before investing in real estate is?","<think>
To calculate the total amount of interest calculated with simple interest, you need to multiply the principal by the annual interest rate and the period, then add this to the principal. In this case, the principal is 3,500,000 KRW, the annual interest rate is 4.0%, and the period is 1 year.

First, let's calculate the interest part.
<calc>3500000 * 0.04 * 1</calc> <result>140000.0</result>

Now, add the principal and the interest.
<calc>3500000 + 140000</calc> <result>3640000.0</result>
</think>

<answer>
3640000.0
</answer>",3640000.0
4,"My cousin took out a loan at a simple interest rate of 4.2% for 2 years to repay the debt incurred due to hospital expenses and paid 672,000 won in interest. What was the loan amount?","<think>
The simple interest formula is as follows:
Interest = Principal × Interest Rate × Time

In the given problem, the interest is 672,000 won, the interest rate is 4.2% (i.e., 0.042), and the time is 2 years.
Based on this, the method to find the principal is as follows:

Interest = Principal × Interest Rate × Time
Principal = Interest / (Interest Rate × Time)

Therefore, substituting the values into the formula:

Principal = <calc>672000 / (0.042 * 2)</calc> <result>8000000</result>

That is, Principal = <calc>672000 / 0.084</calc> <result>8000000</result>
</think>
<answer>
Principal = 8,000,000 won
</answer>

Therefore, the loan amount is 8,000,000 won.
",8000000.0
5,"How much is the interest when 3,500,000 won is borrowed at a simple interest rate of 3.9% per year for 1 year to prepare part of the jeonse deposit?","<think>In this problem, we need to calculate the interest for a loan using simple interest. Simple interest can be calculated by multiplying the principal amount by the annual interest rate and then by the period.

The given principal amount is 3,500,000 KRW, the annual interest rate is 3.9%, and the loan period is 1 year.

Simple interest formula:
Interest = Principal × Annual Interest Rate × Period

Let's substitute the given values into the formula:
Interest = 3,500,000 × 0.039 × 1

Now, let's calculate.

<calc>3500000 * 0.039 * 1</calc> <result>136500</result></think>

The interest accrued over 1 year for the lease deposit loan is <answer>136,500 KRW.</answer>",136500.0
6,"I want to save a total of 4,838,750 won for my children's tuition in 2 years. How much should I deposit now in a simple interest account with an annual interest rate of 3.75%?","<think>
First, we need to understand the formula for simple interest with an annual rate of 3.75%. The simple interest formula is as follows:
A = P(1 + rt)
where A is the future value (the amount to be received later), P is the principal (the initial investment amount), r is the annual interest rate, and t is the time period (in years).

From the given data:
A = 4,838,750 won (future value)
r = 3.75% = 0.0375 (annual interest rate)
t = 2 years (time period)

Substituting these values into the formula:
4838750 = P(1 + 0.0375 × 2)

Solving for P:
P = 4838750 / (1 + 0.0375 × 2)

Calculating:
<calc>1 + 0.0375 * 2</calc> <result>1.075</result>
<calc>4838750 / 1.075</calc> <result>4501162.79</result>

Therefore, the principal (P) is approximately 4,501,162.79 won.
</think>

<answer>4501162.79</answer>",4501162.79
7,"If you take out a personal loan of 5,000,000 KRW at an annual simple interest rate of 4.75% for 2 years to prepare for marriage, how much is the loan interest?","<think>
The loan amount for wedding preparations is 5,000,000 KRW, with an annual interest rate of 4.75%. The loan period is 2 years, and the interest is calculated using simple interest.

The formula for calculating simple interest is as follows:
Interest = Principal × Rate × Time

Here, the time is calculated in years:
Time = (2 × 365) ÷ 365 = 2 years

Therefore,
Interest = <calc>5000000 * 0.0475 * 2</calc> <result>475000.0</result>
</think>
<answer>475000.0</answer>",475000.0
8,"If you save 150,000 won every month for 36 months for moving expenses, what is the total interest if the annual interest rate is 2.5% with simple interest?","<think> The problem is to calculate the total interest earned by depositing 150,000 KRW every month for 36 months, with an annual simple interest rate of 2.5%. First, we need to calculate the monthly deposit amount and the interest accrued over the savings period.  
The total savings amount is the monthly deposit amount (150,000 KRW) x savings period (36 months) = 5,400,000 KRW.  
To find the interest accrued each month, we use the formula for simple interest since the interest rate is applied simply. 

Let's solve the given formula. 
1. Monthly deposit amount: 150,000 KRW
2. Savings period: 36 months
3. Interest rate: 2.5% (annual simple interest, monthly interest rate is 2.5/12%)

Therefore, the total principal at maturity:
<calc>150000 * 36</calc> <result>5400000</result> KRW 

The total interest is determined by the sum of the deposited amount × number of months × simple interest rate, so solving the formula:
Total interest = deposit amount × number of months × (number of months + 1) ÷ 2 × (annual interest rate ÷ 12 ÷ 100)
<calc>150000 * 36 * 37 / 2 * (2.5 / 12 / 100)</calc> <result>208125</result>

Therefore, the final interest is 208,125 KRW. </think> 

<answer> The total savings interest is 208,125 KRW. </answer>",208125.0
9,"I saved money every month for two years to cover hospital admission/surgery costs, and I earned 3,600,000 won in interest. How much did I deposit each month with an annual simple interest rate of 3.6%?","<think>We need to calculate the amount deposited each month. The necessary information is as follows:

1. Total interest: 3,600,000 KRW
2. Period: 2 years = 24 months
3. Annual simple interest rate: 3.6%

Now, let's solve this accurately using the formula.

The annual simple interest formula is as follows:
\[ I = P \times r \times t \]
where,
- \( I \) is the interest.
- \( P \) is the principal.
- \( r \) is the annual interest rate.
- \( t \) is the time (in years).

However, when depositing a fixed amount every month, we need to extend this concept a bit because we have to consider both the deposited amount and the interest on it.

For savings, the interest calculation method applies as follows:
\[ I = \left( \sum_{i=1}^{24} P_i \times (1 + \frac{r}{12})^{24 - i} \right) \times \frac{r}{12} \]

Here, \( P_i \) is the amount deposited each month. In this problem, we assume that the same amount is deposited every month, so \( P_1 = P_2 = ... = P_{24} = P \).

Therefore, we can approach the problem in a simpler way by using the interest, period, and interest rate to set up the equation.

If the total interest is \( I = 3,600,000 \) KRW, the interest for each \( P_i \) is:
\[ 3,600,000 = \frac{PMT_{total} \times n(n+1)}{2} \times \frac{r}{12} \]

Here, \( PMT_{total} \) is the total amount deposited, and n is the consecutive months of the deposit period. To find the exact average amount deposited each month, we can calculate as follows:

Substituting these values into the equation,
\[ 3,600,000 = \frac{M \times 24 \times 25}{2} \times \frac{3.6}{12 \times 100} \]

Through this, we can find \( M \), the amount that needs to be deposited each month.

\[ 3,600,000 = \frac{M \times 24 \times 25}{2} \times \frac{3.6}{12 \times 100} \]

Now, let's solve this:

\[ 3,600,000 = \frac{M \times 300}{200} \times \frac{3.6}{12 \times 100} \]

\[ 3,600,000 = \frac{M \times 3.6 \times 25}{12 \times 100} \]

\[ 3,600,000 = M \times 75 \]

Therefore:

\[ M = \frac{3,600,000}{75} = 48,000 \]

But remember, this 48,000 KRW is the total amount saved each month with the interest rate applied.

Finally, checking the result calculated with simple interest,
\[ 3600000 / 0.03 = 4000000 \ KRW \]

So the amount saved each month is ultimately
</think>

<answer>
4000000.0 KRW
</answer>",4000000.0
