index,question,reasoning,answer
0,"B씨는 생활비를 위해 2,200,300,000원을 연 3.89% 변동금리로 20개월 동안 원리금균등상환 방식으로 대출받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자는 얼마인가요?","<think>
B씨는 2,200,300,000원을 연 3.89% 변동금리로 20개월 동안 원리금균등상환 방식으로 대출받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자를 계산하기 위해 다음과 같은 과정을 거칩니다.

먼저 월 이자율을 계산합니다. 연 이자율 3.89%를 12개월로 나누어 월 이자율을 구합니다.
<calc>3.89 / 12 / 100</calc>
월 이자율 = <result>0.0032416666666666666</result>

다음으로 매월 상환해야 하는 금액을 계산합니다. 원리금균등상환 방식에서는 매월 상환금액이 일정합니다. 이를 계산하기 위해 다음 공식을 사용합니다:
<calc>2,200,300,000 * (0.0032416667 * (1 + 0.0032416667)**20) / ((1 + 0.0032416667)**20 - 1)</calc>
매월 상환금액 = <result>113798010.43034129</result>

총 상환금액은 매월 상환금액에 대출 기간(20개월)을 곱하여 계산합니다.
<calc>113,783,010.43 * 20</calc>
총 상환금액 = <result>2275960208.606826</result>

마지막으로 대출 기간 동안 내야 하는 이자는 총 상환금액에서 원금을 뺀 값입니다.
<calc>2,275,660,208.61 - 2,200,300,000</calc>
이자 = <result>75660208.60682583</result>
</think>
<answer>75660208.61</answer>",75660208.61
1,"A씨는 매달 4,821,000원을 37개월 동안 적금에 납입했습니다. 연이율은 6.55%로 단리로 계산되며, 비과세 상품입니다. 만기 시 수령할 원금과 이자의 합계는 얼마인가요?","<think>
A씨는 매달 4,821,000원을 37개월 동안 적금에 납입했습니다. 연이율은 6.55%로 단리로 계산되며, 비과세 상품입니다. 만기 시 수령할 원금과 이자의 합계를 계산해보겠습니다.

먼저 총 원금을 계산합니다. 총 원금은 매달 납입하는 금액에 납입한 개월 수를 곱하여 구합니다.
<calc>4821000 * 37</calc>
총 원금 = <result>178377000</result>원

다음으로 이자를 계산합니다. 이자는 매달 납입한 금액에 대해 단리로 계산되며, 각 달마다 이자가 발생합니다. 이자는 다음과 같이 계산됩니다:
이자 = 매달 납입한 금액 * 납입한 개월 수 * (납입한 개월 수 + 1) / 2 * (연이율 / 12 / 100)
<calc>4821000 * 37 * (37 + 1) / 2 * (6.55 / 12 / 100)</calc>
이자 = <result>18499181.38</result>원

따라서 만기 시 수령할 금액은 총 원금과 이자의 합계입니다.
<calc>178377000 + 18499181.38</calc>
만기 시 수령할 금액 = <result>196876181.38</result>원
</think>
<answer>196876181.38</answer>",196876181.38
2,"김씨는 1,283,700,000원을 3년 만기 정기예금에 일시불로 예치했습니다. 기본 금리는 연 6.1%의 복리로 적용되며, 이자는 만기일에 일괄 지급됩니다. 이 예금은 비과세 상품입니다. 김씨가 1년 후 중도해지를 할 경우, 중도해지 이율 4.27%가 적용됩니다. 1년 후 중도해지 시 수령할 원금과 이자의 합계는 얼마인가요?","<think>
김씨가 1년 후 중도해지를 할 경우, 중도해지 이율 4.27%가 적용됩니다. 따라서 1년 동안의 이자를 계산해야 합니다. 

먼저, 원금은 1,283,700,000원입니다. 중도해지 이율은 연 4.27%입니다. 이율이 복리로 적용되므로, 1년 후의 금액은 다음과 같이 계산됩니다.

원금과 이자의 합계 = <calc>1,283,700,000 * (1 + 4.27 / 100) ** (365 / 365)</calc>
원금과 이자의 합계 = <result>1,338,513,990.0</result>

따라서 김씨가 1년 후 중도해지 시 수령할 원금과 이자의 합계는 1,338,513,990.0원입니다.
</think>
<answer>1,338,513,990.0</answer>",1338513990.0
3,"김씨는 중고차를 담보로 1,745,600,000원을 연 4.87% 고정금리로 59개월 동안 원금균등상환 방식으로 대출받았습니다. 이 경우, 대출 기간 동안 납부해야 할 총 금액은 얼마인가요?","<think>
김씨는 중고차를 담보로 1,745,600,000원을 연 4.87% 고정금리로 59개월 동안 원금균등상환 방식으로 대출받았습니다. 이 경우, 매달 상환해야 하는 원금과 이자를 계산하여 총 납부 금액을 구해야 합니다.

먼저, 매달 상환해야 하는 원금을 계산합니다. 이는 대출 원금을 대출 기간(개월 수)으로 나눈 값입니다.
<calc>1,745,600,000 / 59</calc>
<result>29,600,000</result>

매달 상환해야 하는 원금은 29,600,000원입니다.

다음으로, 매달 상환해야 하는 이자를 계산합니다. 이는 남은 원금에 대해 연 4.87%의 이자율을 12개월로 나누어 적용한 값입니다. 매달 남은 원금은 대출 원금에서 이미 상환한 원금을 뺀 값입니다.

첫 달의 이자는 다음과 같이 계산됩니다.
<calc>1,745,600,000 * (4.87 / 100) / 12</calc>
<result>7,083,733.33</result>

첫 달의 총 상환 금액은 원금과 이자의 합입니다.
<calc>29,600,000 + 7,083,733.33</calc>
<result>36,683,733.33</result>

이와 같은 방식으로 매달 상환 금액을 계산하여 총 납부 금액을 구합니다. 이를 위해 각 달의 상환 금액을 모두 더합니다.

59개월 동안의 총 납부 금액은 다음과 같습니다.
<calc>sum([29,600,000 + (1,745,600,000 - (29,600,000 * i)) * (4.87 / 100) / 12 for i in range(59)])</calc>
<result>1,958,126,800.0</result>

따라서 김씨가 대출 기간 동안 납부해야 할 총 금액은 1,958,126,800원입니다.
</think>
<answer>1,958,126,800.0</answer>",1958126800.0
4,"B씨는 개인사업자대출로 2,625,900,000원을 연 4.71% 고정금리로 7년 동안 원금균등상환 방식으로 대출받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자는 얼마인가요?","<think>
B씨는 개인사업자대출로 2,625,900,000원을 연 4.71% 고정금리로 7년 동안 원금균등상환 방식으로 대출받았습니다. 원금균등상환 방식은 매월 상환하는 원금이 일정한 방식입니다. 따라서 매월 상환하는 원금은 총 대출금액을 대출 기간의 총 개월 수로 나눈 값입니다.

먼저 매월 상환하는 원금을 계산합니다.
<calc>2,625,900,000 / (7 * 12)</calc>
매월 상환하는 원금 = <result>31,166,666.67</result>

그 다음, 매월 내야 하는 이자를 계산합니다. 첫 달에는 전체 대출금액에 대해 이자를 계산하고, 이후 매월 상환한 원금을 제외한 잔액에 대해 이자를 계산합니다. 이를 7년 동안 반복합니다.

첫 달 이자:
<calc>2,625,900,000 * (4.71 / 100) / 12</calc>
첫 달 이자 = <result>1,029,671.25</result>

둘째 달 이자:
<calc>(2,625,900,000 - 31,166,666.67) * (4.71 / 100) / 12</calc>
둘째 달 이자 = <result>1,016,635.42</result>

이와 같은 방식으로 매월 이자를 계산하여 총 이자를 구합니다. 이를 등비수열로 표현하면 다음과 같습니다:
<calc>[2,625,900,000 * (4.71 / 100) / 12 - 31,166,666.67 * i * (4.71 / 100) / 12 for i in range(84)]</calc>
총 이자 = <result>438,032,943.75</result>
</think>
<answer>438032943.75</answer>",438032943.75
5,"A씨는 1년 만기 비과세 정기예금에 1,385,000,000원을 일시불로 예치했습니다. 연이율은 2.44%입니다. 만기 시 수령할 원금과 이자의 합계는 얼마인가요?","<think>
A씨는 1년 만기 비과세 정기예금에 1,385,000,000원을 예치했습니다. 연이율은 2.44%입니다. 만기 시 수령할 원금과 이자의 합계를 계산하기 위해서는 다음과 같은 수식을 사용합니다.

원금과 이자의 합계 = 원금 * (1 + 연이율 / 100) * (기간 / 365)

여기서 원금은 1,385,000,000원, 연이율은 2.44%, 기간은 365일입니다. 따라서 수식을 계산하면 다음과 같습니다.

원금과 이자의 합계 = <calc>1,385,000,000 * (1 + 2.44 / 100) * (365 / 365)</calc>
원금과 이자의 합계 = <result>1,418,794,000</result>

따라서 만기 시 수령할 원금과 이자의 합계는 1,418,794,000원입니다.
</think>
<answer>1,418,794,000</answer>",1418794000.0
6,"B씨는 연 5.44% 고정금리로 1,133,400,000원을 22개월 동안 만기일시상환 방식으로 신용대출을 받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자는 얼마인가요?","<think>
B씨는 연 5.44%의 고정금리로 1,133,400,000원을 22개월 동안 만기일시상환 방식으로 신용대출을 받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자를 계산하기 위해 다음과 같은 과정을 거칩니다.

먼저, 대출 기간을 일수로 변환합니다. 22개월은 30일로 계산하면 총 <calc>22 * 30</calc>일입니다. 
이는 <result>660</result>일입니다.

이자를 계산하는 공식은 다음과 같습니다:
이자 = 원금 * (연이율 / 100) * (대출 기간(일) / 365)

따라서, 원금 1,133,400,000원에 연이율 5.44%를 적용하고, 대출 기간을 365일로 나누어 계산합니다.
이자 = <calc>1,133,400,000 * (5.44 / 100) * (660 / 365)</calc>
이자 = <result>111,489,297.53</result>

따라서, B씨가 대출 기간 동안 내야 하는 이자는 111,489,297.53원입니다.
</think>
<answer>111489297.53</answer>",111489297.53
7,"A씨는 1,601,600,000원을 38주 동안 연 2.18% 단리로 예치했습니다. 이자소득세 15.4%가 공제됩니다. 만기 시 이자로 받을 수 있는 금액은 얼마인가요?","<think>
A씨는 1,601,600,000원을 38주 동안 연 2.18% 단리로 예치했습니다. 먼저, 38주를 일수로 변환합니다. 

<calc>38 * 7</calc>
<result>266</result>

이제, 이자를 계산합니다. 이자는 원금에 연 이자율을 곱하고, 이를 다시 예치 기간(일수)을 365일로 나눈 값입니다.

<calc>1,601,600,000 * (2.18 / 100) * (266 / 365)</calc>
<result>25444816.657534245</result>

이자소득세 15.4%를 공제한 후의 이자를 계산합니다. 이자소득세는 이자 금액에 세율을 곱한 값입니다.

<calc>25,453,206.92 * (15.4 / 100)</calc>
<result>3918501.7652602736</result>

공제 후의 이자는 전체 이자에서 이자소득세를 뺀 값입니다.

<calc>25,453,206.92 - 3,922,892.07</calc>
<result>21526314.89227397</result>

따라서, 만기 시 A씨가 받을 수 있는 이자는 21,526,314.85원입니다.
</think>
<answer>21526314.89</answer>",21526314.89
8,"J씨는 67,500,000원을 일시불로 예치한 예금 상품에 가입했습니다. 이 예금은 연 5.0%의 단리 이율이 적용되며, 이자소득세 15.4%가 공제됩니다. J씨는 16주 후 중도해지를 계획하고 있으며, 중도해지 이율은 2.5%입니다. 16주 후 중도해지 시 수령할 원금과 이자의 합계는 얼마인가요?","<think>
중도해지 시에는 중도해지 이율 연 2.5%를 적용합니다.
실제 계산에 사용할 기간을 연 단위로 바꾸면 다음과 같습니다.
<calc>16 * 7 / 365</calc>
기간 = <result>0.3068493151</result>년
세전 이자를 계산합니다.
<calc>67500000 * 2.5 / 100 * 0.3068493151</calc>
세전 이자 = <result>517808.22</result>원
이자소득세 15.4%를 공제한 세후 이자를 계산합니다.
<calc>517808.22 * (1 - 15.4 / 100)</calc>
세후 이자 = <result>438065.75</result>원
원금과 최종 이자를 합산합니다.
<calc>67500000 + 438065.75</calc>
원금과 이자의 합계 = <result>67938065.75</result>원
</think>
<answer>67938065.75</answer>",67938065.75
9,"B씨는 생활비를 위해 2,320,700,000원을 연 5.85% 변동금리로 1개월 동안 만기일시상환 방식으로 대출받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자는 얼마인가요?","<think>
B씨는 2,320,700,000원을 연 5.85% 변동금리로 1개월 동안 대출받았습니다. 이 경우, 대출 기간 동안 내야 하는 이자를 계산하기 위해 다음과 같은 과정을 거칩니다.

먼저, 대출 원금(principal)은 2,320,700,000원입니다. 연 이자율(annual_rate_percent)은 5.85%입니다. 대출 기간(days)은 30일입니다.

이자를 계산하는 공식은 다음과 같습니다:
이자 = 원금 * (연 이자율 / 100) * (대출 기간 / 365)

이를 계산하면,
이자 = <calc>2,320,700,000 * (5.85 / 100) * (30 / 365)</calc>
이자 = <result>11,158,434.25</result>

따라서, B씨가 1개월 동안 내야 하는 이자는 11,158,434.25원입니다.
</think>
<answer>11,158,434.25</answer>",11158434.25
