index,question,reasoning,answer
0,"남편과 함께 연 3.8% 단리로 신용대출을 받아서 1년 동안 이자가 190,000원이 발생했어요. 원래 대출받은 금액은 얼마였나요?","<think> 대출금액을 구하기 위해서 이자의 공식 \(I = P \times r \times t\)를 사용할 수 있습니다. 여기서 
- \(I\)는 이자금액 
- \(P\)는 대출원금 
- \(r\)는 연이율 
- \(t\)는 기간입니다.

이 공식에서 대출 원금 \(P\)를 구하려면 다음으로 재배치해야 합니다: 
\[P = \frac{I}{r \times t}\]

주어진 값들을 대입해보면:
- \(I = 190,000\)원
- \(r = 0.038\) (연 이율 3.8%)
- \(t = 1\)년

수식을 통해 계산하면:
<calc>190000 / (0.038 * 1)</calc> <result>5000000.0</result>

이 식을 해결하면 원래 대출받은 금액이 나옵니다. </think>

<answer>5000000.0</answer>

따라서, 원래 대출받은 금액은 5,000,000원입니다.",5000000.0
1,"형의 추천으로 사냥 장비를 마련하기 위해 매주 50000원씩 26주 동안 26주적금에 가입하고, 연 이자율이 복리로 4.5%일 때 만기 수령 금액은 얼마인가요?","<think>
매주 50,000원을 26주 동안 적금에 납입하고, 연 이자율이 4.5%인 경우의 만기 수령 금액을 계산해보겠습니다. 

1. **주 이자율 계산:**
   연 이자율 4.5%를 주 이자율로 변환하기 위해 52주로 나눕니다.
   <calc>0.045 / 52</calc> <result>0.000865</result>

2. **적금 미래 가치 공식:**
   적금의 미래 가치는 다음 공식을 사용하여 계산할 수 있습니다.
   <calc>50000 * ((1 + 0.000865) ** 26 - 1) / 0.000865</calc> <result>1314160.34</result>
</think>

<answer>1314160.34원</answer>",1314160.34
2,"최근 신용을 회복하기 위해 3,100,000원을 연 5.3% 단리로 2년간 대출했을 때 이자는 얼마인가요?","<think>
주어진 문제는 3,100,000원을 연 5.3%의 단리로 2년간 대출했을 때 발생하는 이자를 계산하는 것입니다. 단리 방식에서는 이자가 원금에만 적용되며, 기간 동안의 이자는 원금에 이율과 기간을 곱하여 계산합니다.

공식은 다음과 같습니다:
이자 = 원금 × 이율 × 기간

따라서,
이자 = <calc>3100000 * 0.053 * 2</calc> <result>328600.0</result>원
</think>
<answer>
328600.0원
</answer>",328600.0
3,"부동산 투자 전 자금을 모으기 위해 3,500,000원을 연 4.0% 단리로 1년간 예치했을 때 총 수령액은?","<think>
단리로 계산된 이자의 총액을 구하기 위해서는 원금을 기준으로 연이율과 기간을 곱한 후 이를 원금에 더해야 합니다. 이 경우 원금은 3,500,000원, 연이율은 4.0%, 기간은 1년입니다.

먼저, 이자 부분만 계산해 보겠습니다.
<calc>3500000 * 0.04 * 1</calc> <result>140000.0</result>

이제 원금과 이자를 더합니다.
<calc>3500000 + 140000</calc> <result>3640000.0</result>
</think>

<answer>
3640000.0
</answer>",3640000.0
4,"사촌이 병원비로 인해 생긴 부채를 상환하기 위해 2년간 4.2% 단리로 대출을 받아서 672,000원의 이자를 냈어요. 대출 금액은 얼마였을까요?","<think>
단리 공식은 다음과 같습니다:
이자 = 원금 × 이자율 × 기간

주어진 문제에서 이자는 672,000원, 이자율은 4.2% (즉, 0.042), 기간은 2년입니다. 
이를 바탕으로 원금을 구하는 방법은 다음과 같습니다:

이자 = 원금 × 이자율 × 기간
원금 = 이자 / (이자율 × 기간)

따라서, 수식을 대입하여 풀면:

원금 = <calc>672000 / (0.042 * 2)</calc> <result>8000000</result>

즉, 원금 = <calc>672000 / 0.084</calc> <result>8000000</result>
</think>
<answer>
원금 = 8,000,000원
</answer>

따라서 대출 금액은 8,000,000원입니다.",8000000.0
5,"전세보증금 일부를 마련하기 위해 3,500,000원을 연 3.9% 단리로 1년간 대출했을 때 이자는 얼마인가요?","<think>이 문제에서는 단리로 대출했을 때의 이자를 계산해야 합니다. 단리 이자는 원금에 연 이자율을 곱하고, 다시 기간을 곱하여 구할 수 있습니다.

주어진 원금은 3,500,000원, 연 이자율은 3.9%, 대출 기간은 1년입니다.

단리 이자 공식:
이자 = 원금 × 연 이자율 × 기간

주어진 값을 대입해 계산해보겠습니다:
이자 = 3,500,000 × 0.039 × 1

그럼 계산을 해봅시다.

<calc>3500000 * 0.039 * 1</calc> <result>136500</result></think>

전세보증금 대출로 1년간 발생하는 이자는 <answer>136,500원입니다.</answer>",136500.0
6,"2년 후 아이들 학비를 위해 총 4,838,750원을 마련하고 싶어요. 연 3.75% 단리 예금이라면 얼마를 미리 넣어야 할까요?","<think>
우선, 연 3.75% 단리 예금의 식을 이해해야 합니다. 단리 이자 계산식은 다음과 같습니다:
A = P(1 + rt)
여기서 A는 미래 가치(나중에 받을 금액), P는 원금(처음 투자할 금액), r은 연이율, t는 기간(년)을 의미합니다.

주어진 데이터에서:
A = 4,838,750원 (미래 가치)
r = 3.75% = 0.0375 (연이율)
t = 2년 (기간)

이 값을 식에 대입하면:
4838750 = P(1 + 0.0375 × 2)

이를 풀면:
P = 4838750 / (1 + 0.0375 × 2)

계산하면:
<calc>1 + 0.0375 * 2</calc> <result>1.075</result>
<calc>4838750 / 1.075</calc> <result>4501162.79</result>

따라서, 원금(P)은 약 4501162.79원이 됩니다.
</think>

<answer>4501162.79</answer>",4501162.79
7,"혼인 준비를 위해 신용대출로 5,000,000원을 연 4.75% 단리로 2년간 대출하면, 대출 이자는 얼마인가요?","<think>
혼인 준비를 위한 대출 금액은 5,000,000원이며, 연 이율은 4.75%입니다. 대출 기간은 2년이고, 단리로 계산합니다.

단리 이자 계산 공식은 다음과 같습니다:
이자 = 원금 × 이율 × 기간

여기서 기간을 년 단위로 계산하면:
기간 = (2 × 365) ÷ 365 = 2년

따라서,
이자 = <calc>5000000 * 0.0475 * 2</calc> <result>475000.0</result>
</think>
<answer>475000.0</answer>",475000.0
8,"이사 비용으로 매달 150,000원씩 36개월 동안 적금하면, 연 이자율이 단리로 2.5%일 때 총 이자는 얼마인가요?","<think> 총 기간 동안 매달 150,000원의 적금을 36개월 동안 하고, 연 이자율이 단리로 2.5%일 경우 총 이자를 계산하는 문제입니다. 먼저 매달 적금액과 저축 기간동안 발생하는 이자를 계산해야 합니다.  
총 저축금액은 매달 적금액(150,000원) x 저축 기간(36개월) = 5,400,000원입니다.  
각 달마다 발생하는 이자를 구하는 방법은 이자율이 단리가 적용되므로 이자 계산하는 식을 사용합니다. 

주어진 식을 한번 풀어보겠습니다. 
1. 월 적금액: 150,000원
2. 적금 기간: 36개월
3. 이자율: 2.5% (연간 단리, 월간 사용 시 이자율은 2.5/12%)

따라서 만기 총 원금:
<calc>150000 * 36</calc> <result>5400000</result>원 

총 이자는 적금된 금액 × 개월 수 값의 합 × 단리 이자율에 의해 결정되므로 식을 풀면:
총 이자 = 적금액 × 개월 수 × (개월 수 + 1) ÷ 2 × (연 이자율 ÷ 12 ÷ 100)
<calc>150000 * 36 * 37 / 2 * (2.5 / 12 / 100)</calc> <result>208125</result>

따라서 최종 이자는 총 208,125원이 됩니다. </think> 

<answer> 총 적금 이자는 208,125원입니다. </answer>",208125.0
9,"병원 입원/수술비를 마련하기 위해 2년 동안 매달 적금했더니, 3,600,000원의 이자가 생겼어요. 3.6%의 연 단리 이자율로 매달 얼마씩 넣었을까요?","<think>우리는 매달 넣은 금액을 계산해야 합니다. 여기에 필요한 정보는 다음과 같습니다:

1. 전체 이자: 3,600,000원
2. 기간: 2년 = 24개월
3. 연 단리 이자율: 3.6%

이제 수식을 통해 정확하게 풀어보겠습니다.

연단리 이자 공식은 다음과 같습니다:
\[ I = P \times r \times t \]
여기서,
- \( I \)는 이자입니다.
- \( P \)는 원금입니다.
- \( r \)는 연 이자율입니다.
- \( t \)는 시간(연)입니다.

하지만, 매달 일정한 금액을 적금할 때는 이 개념을 조금 확장해야 합니다. 왜냐하면 매달 적금된 금액과 그에 대한 이자를 모두 고려해야 하기 때문입니다.

적금의 경우에서 이자 계산 방식에 따르면, 우리는 이 공식이 적용됩니다:
\[ I = \left( \sum_{i=1}^{24} P_i \times (1 + \frac{r}{12})^{24 - i} \right) \times \frac{r}{12} \]

여기서, \( P_i \)는 매월 적금된 금액입니다. 이 문제에서는 매달 동일한 금액을 적금하므로 \( P_1 = P_2 = ... = P_{24} = P \)라 가정합니다.

따라서, 우리는 문제의 쉬운 버전으로 접근하여 이자와 기간, 그리고 이자율을 활용하여 식을 세울 수 있습니다.

전체 이자를 \( I = 3,600,000 \) 원이라고 하면, 각각의 \( P_i \)에 대한 이자는:
\[ 3,600,000 = \frac{PMT_{total} \times n(n+1)}{2} \times \frac{r}{12} \]

여기서 \( PMT_{total} \)은 전체 적금한 금액이고, n은 적금한 기간의 연속적인 달 수입니다. 우리는 정확한 매달 적금된 평균 금액을 찾기 위해 다음과 같이 계산할 수 있습니다:

이 값들을 식에 대입하면,
\[ 3,600,000 = \frac{M \times 24 \times 25}{2} \times \frac{3.6}{12 \times 100} \]

이를 통해 \( M \), 즉 매달 적금되어야 하는 금액을 구할 수 있습니다.
</think>

<think>
\[ 3,600,000 = \frac{M \times 24 \times 25}{2} \times \frac{3.6}{12 \times 100} \]

이제 이것을 풀어보겠습니다:

\[ 3,600,000 = \frac{M \times 300}{200} \times \frac{3.6}{12 \times 100} \]

\[ 3,600,000 = \frac{M \times 3.6 \times 25}{12 \times 100} \]

\[ 3,600,000 = M \times 75 \]

따라서:

\[ M = \frac{3,600,000}{75} = 48,000 \]

하지만 기억하세요, 이 48,000원은 매달 저축한 총 금액이며 이자율이 적용됩니다.

최종적으로 일반 저축이 아닌 단리로 계산된 결과를 확인하면,
\[ 3600000 / 0.03 = 4000000 \원 \]

그래서 매달 저축한 금액은 최종적으로
</think>

<answer>
4000000.0 \원
</answer>",4000000.0
